iter	RMSE
0	0.9580464954
1	0.9579413218
2	0.9578308985
3	0.9577207974
4	0.9576231081
5	0.9575183071
6	0.9574162456
7	0.9573176941
8	0.957222657
9	0.9571159329
10	0.9570144083
11	0.9569068281
12	0.9568034479
13	0.9566999949
14	0.9565886007
15	0.9564752162
16	0.9563740127
17	0.9562711282
18	0.9561710448
19	0.9560597862
20	0.955948574
21	0.9558434176
22	0.9557383657
23	0.9556377729
24	0.9555366088
25	0.955435606
26	0.9553354132
27	0.9552302441
28	0.9551307432
29	0.9550372112
30	0.9549374531
31	0.9548465863
32	0.954739607
33	0.9546363803
34	0.9545538183
35	0.9544528904
36	0.9543445029
37	0.9542342976
38	0.9541263628
39	0.9540498047
40	0.9539561358
41	0.953859138
42	0.9537473445
43	0.9536401375
44	0.953542847
45	0.9534425386
46	0.9533419357
47	0.9532706269
48	0.9531597688
49	0.9530546626
50	0.9529441904
51	0.9528441867
52	0.9527492247
53	0.9526476708
54	0.952547029
55	0.9524510247
56	0.9523498482
57	0.9522424791
58	0.9521391315
59	0.9520417352
60	0.9519423336
61	0.9518423127
62	0.9517340208
63	0.9516339261
64	0.9515403348
65	0.9514451349
66	0.9513376452
67	0.9512397327
68	0.9511420414
69	0.9510442815
70	0.9509482409
71	0.9508525438
72	0.9507557025
73	0.9506549063
74	0.9505642907
75	0.9504661127
76	0.9503723149
77	0.9502762601
78	0.9501791059
79	0.9500949551
80	0.9500028166
81	0.9499019419
82	0.9498130865
83	0.9497100959
84	0.9496181665
85	0.9495144271
86	0.9494249947
87	0.9493495583
88	0.9492623754
89	0.9491632425
90	0.949071457
91	0.9489751992
92	0.9488797636
93	0.9487848379
94	0.948694021
95	0.9486034129
96	0.9485213173
97	0.9484314779
98	0.948345496
99	0.9482484461
