iter	Passed	Remaining
0	64	64753
1	125	62759
2	188	62775
3	248	61913
4	309	61552
5	372	61785
6	438	62171
7	502	62259
8	566	62323
9	626	62055
10	688	61872
11	753	62070
12	818	62109
13	881	62052
14	947	62202
15	1013	62358
16	1078	62376
17	1146	62548
18	1211	62568
19	1277	62592
20	1338	62418
21	1403	62376
22	1466	62310
23	1533	62377
24	1598	62345
25	1661	62242
26	1727	62257
27	1792	62214
28	1855	62122
29	1921	62124
30	1986	62082
31	2051	62049
32	2116	62025
33	2181	61972
34	2245	61923
35	2314	61983
36	2380	61956
37	2442	61829
38	2505	61737
39	2573	61762
40	2646	61895
41	2711	61848
42	2779	61858
43	2846	61838
44	2914	61846
45	2980	61821
46	3047	61794
47	3111	61703
48	3178	61686
49	3244	61637
50	3307	61550
51	3372	61479
52	3440	61467
53	3507	61447
54	3572	61390
55	3636	61294
56	3700	61226
57	3764	61146
58	3828	61066
59	3893	60998
60	3957	60916
61	4024	60891
62	4091	60859
63	4158	60821
64	4222	60743
65	4286	60663
66	4353	60628
67	4419	60578
68	4483	60490
69	4545	60391
70	4609	60312
71	4682	60355
72	4748	60295
73	4812	60218
74	4876	60148
75	4941	60075
76	5007	60028
77	5071	59952
78	5135	59873
79	5199	59789
80	5265	59744
81	5336	59745
82	5402	59693
83	5474	59696
84	5539	59632
85	5604	59559
86	5670	59511
87	5736	59451
88	5799	59367
89	5862	59277
90	5926	59201
91	5992	59140
92	6059	59096
93	6127	59061
94	6196	59029
95	6263	58980
96	6327	58902
97	6392	58833
98	6454	58738
99	6517	58661
100	6584	58604
101	6647	58527
102	6712	58457
103	6775	58373
104	6840	58305
105	6906	58250
106	6980	58259
107	7047	58210
108	7116	58170
109	7181	58103
110	7248	58054
111	7316	58011
112	7382	57947
113	7449	57893
114	7510	57801
115	7576	57737
116	7641	57670
117	7708	57617
118	7774	57560
119	7840	57494
120	7904	57424
121	7975	57394
122	8041	57335
123	8104	57251
124	8168	57181
125	8232	57103
126	8296	57030
127	8368	57008
128	8434	56950
129	8499	56883
130	8563	56803
131	8626	56725
132	8690	56654
133	8756	56590
134	8821	56522
135	8886	56454
136	8951	56389
137	9016	56321
138	9080	56245
139	9144	56175
140	9210	56111
141	9277	56058
142	9343	55996
143	9408	55928
144	9472	55855
145	9539	55797
146	9603	55725
147	9670	55671
148	9737	55614
149	9804	55559
150	9870	55496
151	9933	55418
152	10005	55388
153	10068	55311
154	10134	55248
155	10199	55183
156	10265	55120
157	10332	55062
158	10399	55005
159	10465	54944
160	10531	54883
161	10599	54827
162	10664	54760
163	10729	54693
164	10793	54622
165	10861	54568
166	10927	54506
167	10991	54434
168	11057	54372
169	11122	54303
170	11192	54259
171	11255	54184
172	11318	54105
173	11384	54042
174	11454	54000
175	11519	53930
176	11584	53866
177	11649	53795
178	11714	53729
179	11780	53665
180	11846	53604
181	11909	53527
182	11973	53455
183	12038	53389
184	12101	53312
185	12167	53248
186	12232	53182
187	12296	53110
188	12361	53042
189	12427	52978
190	12492	52914
191	12558	52850
192	12624	52788
193	12692	52732
194	12757	52663
195	12824	52608
196	12890	52542
197	12955	52478
198	13023	52422
199	13089	52356
200	13153	52286
201	13219	52225
202	13286	52164
203	13354	52108
204	13418	52035
205	13483	51969
206	13548	51904
207	13613	51837
208	13680	51774
209	13745	51707
210	13811	51646
211	13877	51582
212	13943	51517
213	14009	51454
214	14072	51381
215	14135	51307
216	14204	51254
217	14275	51209
218	14342	51150
219	14407	51081
220	14471	51011
221	14536	50944
222	14602	50880
223	14665	50807
224	14729	50734
225	14793	50666
226	14859	50602
227	14928	50546
228	14996	50491
229	15060	50420
230	15122	50342
231	15187	50274
232	15252	50210
233	15324	50163
234	15386	50088
235	15452	50025
236	15520	49967
237	15584	49896
238	15648	49825
239	15712	49754
240	15777	49688
241	15841	49620
242	15905	49548
243	15967	49472
244	16034	49412
245	16101	49352
246	16166	49285
247	16232	49221
248	16299	49160
249	16366	49098
250	16430	49029
251	16494	48961
252	16560	48894
253	16624	48826
254	16690	48760
255	16762	48715
256	16828	48652
257	16890	48575
258	16954	48506
259	17020	48442
260	17086	48378
261	17149	48305
262	17213	48237
263	17278	48171
264	17343	48103
265	17405	48029
266	17469	47958
267	17535	47896
268	17602	47833
269	17666	47765
270	17731	47698
271	17800	47641
272	17864	47574
273	17931	47511
274	17996	47445
275	18061	47377
276	18126	47311
277	18193	47251
278	18256	47178
279	18321	47113
280	18387	47048
281	18450	46977
282	18515	46910
283	18581	46845
284	18646	46779
285	18712	46715
286	18778	46652
287	18843	46585
288	18909	46522
289	18977	46462
290	19046	46405
291	19111	46337
292	19174	46266
293	19239	46200
294	19301	46127
295	19366	46061
296	19429	45990
297	19496	45928
298	19561	45862
299	19627	45796
300	19692	45730
301	19760	45670
302	19823	45601
303	19888	45533
304	19953	45467
305	20018	45401
306	20085	45338
307	20146	45264
308	20211	45198
309	20274	45127
310	20338	45057
311	20402	44991
312	20466	44921
313	20530	44852
314	20595	44786
315	20659	44719
316	20725	44653
317	20790	44588
318	20855	44521
319	20921	44459
320	20986	44392
321	21054	44331
322	21121	44269
323	21184	44200
324	21246	44128
325	21310	44058
326	21376	43995
327	21442	43930
328	21507	43864
329	21572	43799
330	21636	43729
331	21700	43662
332	21767	43601
333	21830	43530
334	21894	43461
335	21959	43395
336	22023	43327
337	22090	43266
338	22157	43204
339	22223	43138
340	22288	43072
341	22354	43010
342	22421	42946
343	22482	42874
344	22547	42807
345	22613	42743
346	22678	42676
347	22747	42619
348	22813	42555
349	22881	42494
350	22947	42430
351	23014	42367
352	23081	42305
353	23146	42238
354	23212	42175
355	23275	42104
356	23338	42034
357	23402	41968
358	23467	41901
359	23531	41834
360	23598	41771
361	23666	41710
362	23733	41647
363	23800	41584
364	23864	41517
365	23930	41453
366	23995	41386
367	24062	41324
368	24128	41259
369	24191	41191
370	24257	41126
371	24324	41063
372	24388	40996
373	24455	40933
374	24520	40866
375	24586	40803
376	24651	40737
377	24720	40676
378	24784	40610
379	24850	40545
380	24929	40501
381	24997	40440
382	25058	40368
383	25122	40300
384	25190	40238
385	25255	40173
386	25321	40108
387	25385	40040
388	25449	39972
389	25520	39915
390	25585	39850
391	25650	39784
392	25713	39715
393	25779	39650
394	25844	39584
395	25907	39516
396	25976	39456
397	26043	39391
398	26107	39325
399	26175	39263
400	26240	39196
401	26303	39127
402	26367	39061
403	26433	38996
404	26499	38930
405	26564	38865
406	26628	38798
407	26695	38734
408	26761	38670
409	26825	38602
410	26891	38538
411	26956	38471
412	27023	38408
413	27089	38343
414	27151	38273
415	27216	38207
416	27281	38141
417	27344	38073
418	27411	38009
419	27476	37944
420	27543	37880
421	27610	37816
422	27677	37753
423	27743	37689
424	27810	37625
425	27876	37561
426	27942	37496
427	28009	37433
428	28074	37367
429	28139	37301
430	28205	37236
431	28270	37170
432	28336	37106
433	28404	37043
434	28468	36976
435	28531	36908
436	28596	36841
437	28659	36773
438	28722	36704
439	28789	36641
440	28856	36577
441	28920	36511
442	28990	36451
443	29055	36384
444	29120	36318
445	29185	36252
446	29252	36188
447	29323	36130
448	29387	36063
449	29452	35997
450	29520	35935
451	29585	35869
452	29651	35804
453	29715	35737
454	29777	35667
455	29840	35599
456	29905	35533
457	29973	35470
458	30042	35409
459	30106	35342
460	30169	35274
461	30234	35208
462	30298	35141
463	30366	35079
464	30432	35014
465	30496	34946
466	30560	34879
467	30626	34814
468	30692	34749
469	30760	34687
470	30824	34620
471	30891	34556
472	30957	34491
473	31023	34426
474	31087	34359
475	31152	34293
476	31216	34227
477	31281	34161
478	31349	34097
479	31414	34032
480	31481	33968
481	31544	33900
482	31611	33837
483	31675	33770
484	31739	33702
485	31805	33637
486	31868	33569
487	31934	33505
488	32002	33442
489	32066	33375
490	32132	33310
491	32200	33247
492	32266	33182
493	32330	33116
494	32397	33051
495	32462	32986
496	32530	32923
497	32598	32860
498	32666	32797
499	32732	32732
500	32799	32668
501	32867	32605
502	32934	32541
503	33003	32479
504	33069	32414
505	33134	32348
506	33199	32282
507	33263	32215
508	33328	32150
509	33396	32086
510	33461	32020
511	33525	31954
512	33589	31886
513	33654	31820
514	33718	31754
515	33787	31691
516	33851	31625
517	33918	31561
518	33982	31494
519	34048	31429
520	34112	31362
521	34180	31299
522	34244	31232
523	34311	31168
524	34374	31100
525	34439	31034
526	34505	30969
527	34568	30902
528	34635	30838
529	34698	30770
530	34765	30705
531	34830	30640
532	34897	30575
533	34962	30510
534	35029	30446
535	35098	30383
536	35164	30318
537	35228	30251
538	35293	30185
539	35357	30119
540	35423	30054
541	35488	29988
542	35552	29921
543	35618	29856
544	35683	29790
545	35754	29730
546	35816	29661
547	35880	29594
548	35948	29531
549	36014	29466
550	36078	29399
551	36142	29333
552	36206	29266
553	36269	29198
554	36336	29134
555	36404	29071
556	36467	29003
557	36534	28939
558	36602	28875
559	36667	28809
560	36733	28744
561	36799	28680
562	36863	28613
563	36933	28551
564	37000	28486
565	37068	28423
566	37134	28358
567	37198	28292
568	37263	28226
569	37329	28160
570	37395	28096
571	37462	28031
572	37529	27967
573	37599	27904
574	37665	27839
575	37729	27773
576	37795	27707
577	37859	27641
578	37928	27578
579	37995	27514
580	38062	27449
581	38131	27386
582	38196	27320
583	38259	27253
584	38322	27185
585	38389	27121
586	38458	27058
587	38524	26993
588	38589	26927
589	38652	26860
590	38717	26794
591	38785	26730
592	38850	26664
593	38913	26597
594	38982	26534
595	39048	26469
596	39112	26402
597	39176	26336
598	39241	26270
599	39307	26204
600	39371	26138
601	39434	26071
602	39499	26005
603	39566	25941
604	39633	25876
605	39697	25809
606	39765	25746
607	39830	25679
608	39894	25613
609	39960	25548
610	40025	25482
611	40093	25418
612	40160	25354
613	40228	25290
614	40297	25226
615	40367	25163
616	40430	25097
617	40497	25032
618	40560	24965
619	40625	24899
620	40690	24833
621	40758	24769
622	40822	24702
623	40886	24636
624	40951	24570
625	41016	24504
626	41081	24439
627	41146	24373
628	41211	24307
629	41277	24242
630	41343	24177
631	41413	24114
632	41478	24048
633	41542	23981
634	41609	23917
635	41672	23850
636	41738	23784
637	41800	23717
638	41870	23654
639	41938	23590
640	42004	23524
641	42070	23459
642	42136	23394
643	42199	23327
644	42262	23261
645	42325	23193
646	42392	23129
647	42458	23064
648	42523	22998
649	42591	22933
650	42659	22869
651	42730	22807
652	42795	22741
653	42866	22678
654	42936	22615
655	42999	22548
656	43063	22482
657	43128	22416
658	43193	22350
659	43258	22284
660	43326	22220
661	43391	22154
662	43455	22088
663	43521	22023
664	43586	21957
665	43649	21890
666	43713	21823
667	43780	21759
668	43842	21692
669	43908	21626
670	43976	21562
671	44043	21497
672	44108	21431
673	44175	21366
674	44240	21300
675	44303	21234
676	44367	21167
677	44430	21101
678	44496	21035
679	44559	20969
680	44625	20903
